Team,Name,Price,Rating,Room Type
MIN,Hilton Garden Inn Minneapolis - University Area,296,7.6,2 queen beds
MIN,"Holiday Inn Express Hotel & Suites Minneapolis-Downtown Convention Center, an IHG Hotel",329,8.5,1 queen bed
MIN,"InterContinental Minneapolis - St. Paul Airport, an IHG Hotel",355,8.8,2 queen beds
MIN,TownePlace Suites by Marriott Minneapolis Downtown/North Loop,348,8.1,Entire studio•1 bathroom•1 kitchen•398 ft²1 queen bed
MIN,Cambria Hotel Minneapolis Downtown,322,8.4,2 queen beds
MIN,Home2 Suites by Hilton Minneapolis Downtown,338,8.0,1 queen bed
MIN,"Hampton Inn and Suites Minneapolis University Area, MN",248,8.8,2 queen beds
MIN,Courtyard by Marriott Minneapolis Downtown,592,8.5,2 queen beds
MIN,Radisson Red Minneapolis Downtown,667,7.9,Entire studio•1 bathroom•323 ft²2 queen beds
MIN,Delta Hotels by Marriott Minneapolis Northeast,271,8.4,2 queen beds
MIN,Element Minneapolis Downtown North Loop,406,9.1,1 queen bed
MIN,Hilton Garden Inn Minneapolis Downtown,365,7.8,2 queen beds
MIN,AC Hotel by Marriott Minneapolis West End,428,9.0,2 queen beds
CHI,Courtyard by Marriott Chicago at Medical District-UIC,189,8.2,2 queen beds
CHI,"Crowne Plaza - Chicago West Loop, an IHG Hotel",231,8.0,Multiple bed types
CHI,La Quinta by Wyndham Chicago Downtown,283,8.0,1 queen bed
CHI,The Whitehall Hotel - BW Premier Collection,228,7.3,1 queen bed
CHI,Best Western Grant Park Hotel,224,7.5,1 queen bed
CHI,"Holiday Inn Hotel & Suites Chicago - Downtown, an IHG Hotel",243,7.9,2 queen beds
CHI,"voco Chicago Downtown, an IHG Hotel",338,7.6,2 queen beds
CHI,Home2 Suites By Hilton Chicago River North,318,8.2,1 queen bed
CHI,Hampton Inn & Suites Chicago Medical District Uic,280,8.5,2 queen beds
CHI,Hampton Inn Majestic Chicago Theatre District,281,8.5,1 queen bed
CHI,Hampton Inn & Suites Chicago-Downtown,358,8.5,2 queen beds
CHI,"Holiday Inn - Chicago Dwtn - The Mart, an IHG Hotel",335,7.9,2 queen beds
CHI,Hampton Inn Chicago Downtown/Magnificent Mile,294,7.9,2 queen beds
CHI,Moxy Chicago Downtown,270,8.9,1 queen bed
CHI,Hilton Garden Inn Chicago Downtown South Loop,326,8.2,2 queen beds
CHI,Best Western Chicago Downtown-River North,338,7.5,2 queen beds
CHI,"Holiday Inn Express Chicago - Magnificent Mile, an IHG Hotel",257,7.6,1 queen bed
CHI,Hotel Versey Chicago Lincoln Park,313,7.9,2 queen beds
CHI,Congress Plaza Hotel Chicago,256,7.3,1 queen bed
CHI,Chicago South Loop Hotel,212,6.5,2 queen beds
CHI,Hilton Garden Inn Chicago Downtown/Magnificent Mile,333,7.4,2 queen beds
CHI,Hilton Chicago,393,7.7,2 queen beds
CHI,"Hampton Inn Chicago North-Loyola Station, Il",311,8.7,2 queen beds
CHI,Hyatt House Chicago West Loop-Fulton Market,428,8.4,"Private suite•2 bedrooms•1 living room•1 bathroom•398 ft²3 beds (1 sofa bed, 2 queens)"
CHI,Hilton Chicago/Oak Lawn,280,7.7,2 queen beds
DET,Sonder Gabriel Richard,345,8.6,Entire apartment•1 bedroom•1 bathroom•1 kitchen•398 ft²1 queen bed
DET,Courtyard by Marriott Detroit Downtown,448,7.6,1 queen bed
DET,Atheneum Suite Hotel,444,8.6,2 queen beds
DET,Hilton Garden Inn Detroit Downtown,407,7.9,2 queen beds
DET,"Hotel Indigo Detroit Downtown, an IHG Hotel",358,7.4,2 queen beds
DET,Element Detroit at the Metropolitan,668,8.7,Entire studio•1 bathroom•366 ft²2 queen beds
GB,Hotel J Green Bay,178,8.4,2 queen beds
GB,AmericInn by Wyndham Green Bay East,177,8.5,2 queen beds
GB,"Country Inn & Suites by Radisson, Green Bay East, WI",199,8.0,2 queen beds
GB,Baymont by Wyndham Green Bay,129,6.9,1 queen bed
GB,Quality Inn & Suites,132,7.3,2 queen beds
GB,Extended Stay Airport,150,8.0,1 queen bed
GB,Hampton Inn Green Bay Downtown,233,8.5,2 queen beds
GB,Hawthorn Extended Stay by Wyndham Green Bay,154,7.4,"Private suite2 beds (1 sofa bed, 1 queen)"
GB,Oneida Casino Hotel,288,8.2,2 queen beds
GB,"My Place Hotel-Green Bay, WI",228,8.8,1 queen bed
GB,"Holiday Inn Express & Suites - Green Bay East, an IHG Hotel",201,8.5,2 queen beds
GB,Spark by Hilton Green Bay,204,7.8,2 queen beds
GB,Comfort Suites,295,7.5,"3 beds (1 sofa bed, 2 queens)"
GB,"Holiday Inn & Suites Green Bay Stadium, an IHG Hotel",236,7.9,Private suite•2 bedrooms•1 bathroom•323 ft²2 queen beds
GB,Wingate by Wyndham Green Bay,197,8.5,2 queen beds
GB,"Country Inn & Suites by Radisson, Green Bay North, WI",248,9.0,2 queen beds
GB,Best Western Green Bay Inn and Conference Center,290,7.9,2 queen beds
GB,Residence Inn by Marriott Green Bay Downtown,298,9.1,Private suite1 queen bed
GB,Village Inn Green Bay,170,6.5,2 queen beds
PHI,"Holiday Inn Express Philadelphia-Midtown, an IHG Hotel",360,8.2,1 queen bed
PHI,Motto by Hilton Philadelphia Rittenhouse Square,318,8.3,1 queen bed
PHI,Hilton Garden Inn Philadelphia Center City,423,8.0,2 queen beds
PHI,Fairfield Inn Philadelphia Airport,197,7.7,2 queen beds
PHI,Sonesta Select Philadelphia Airport,262,7.9,2 queen beds
PHI,Mint House at The Divine Lorraine Hotel - Philadelphia,376,9.0,Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•646 ft²1 queen bed
PHI,Sosuite at Independence Lofts - Callowhill,318,8.1,"Entire apartment•1 bedroom•1 bathroom•1 kitchen•603 ft²2 beds (1 sofa bed, 1 queen)"
PHI,Sheraton Philadelphia Downtown,381,8.1,1 queen bed
PHI,"Holiday Inn Express Philadelphia Penn's Landing, an IHG Hotel",358,8.1,2 queen beds
PHI,Sheraton Philadelphia University City Hotel,348,7.9,2 queen beds
PHI,"Independence Park Hotel, Premier Collection",470,8.9,1 queen bed
PHI,Aloft Philadelphia Airport,281,7.7,2 queen beds
PHI,Penn's View Hotel Philadelphia,408,8.7,1 queen bed
PHI,Sonder The Witherspoon,449,8.4,"Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•549 ft²2 beds (1 sofa bed, 1 queen)"
PHI,Hampton Inn Philadelphia Center City-Convention Center,433,7.6,2 queen beds
PHI,Sosuite at French Quarters - Rittenhouse Square,424,7.9,Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•495 ft²1 queen bed
PHI,Locale North Broad - Philadelphia,339,8.0,Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•420 ft²1 queen bed
PHI,Aloft Philadelphia Downtown,408,7.9,1 queen bed
PHI,Home2 Suites by Hilton Philadelphia Convention Center,502,7.7,1 queen bed
PHI,Residence Inn by Marriott Philadelphia Center City,568,8.0,Entire studio•1 bathroom•1 kitchen•172 ft²1 queen bed
PHI,Sosuite at The Vine - Old City,348,8.2,Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•441 ft²1 queen bed
PHI,Sosuite at West Lofts - West Philadelphia,392,7.5,Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•850 ft²1 queen bed
PHI,Morris House Hotel,468,9.2,Private suite1 queen bed
PHI,"Holiday Inn Philadelphia Arpt-Stadium Area, an IHG Hotel",433,7.3,2 queen beds
PHI,Sonder The Edison,381,8.4,"Entire apartment•1 bedroom•1 living room•1 bathroom•1 kitchen•441 ft²2 beds (1 sofa bed, 1 queen)"
WSH,Hyatt Place Washington DC/Georgetown/West End,291,8.0,"3 beds (1 sofa bed, 2 queens)"
WSH,"Holiday Inn Express Washington DC Downtown, an IHG Hotel",280,7.5,2 queen beds
WSH,"Moxy Washington, DC Downtown",259,8.2,1 queen bed
WSH,Motto by Hilton Washington DC City Center,219,8.3,1 queen bed
WSH,Courtyard by Marriott Washington Downtown/Convention Center,277,8.4,2 queen beds
WSH,The Architect,178,7.4,1 queen bed
WSH,Hotel Nell - Union Market,210,7.6,1 queen bed
WSH,Hilton Garden Inn Washington D.C./U.S. Capitol,273,7.6,1 queen bed
WSH,Hilton Garden Inn Washington DC/Georgetown Area,306,8.1,2 queen beds
WSH,Hotel Hive,278,8.6,1 queen bed
WSH,Courtyard by Marriott Washington Capitol Hill/Navy Yard,298,8.0,2 queen beds
WSH,Homewood Suites by Hilton Washington DC Convention Center,340,7.8,"2 beds (1 sofa bed, 1 queen)"
WSH,Kellogg Conference Hotel Capitol Hill at Gallaudet University,242,8.1,2 queen beds
WSH,"Holiday Inn Washington Capitol-National Mall, an IHG Hotel",351,7.9,1 queen bed
WSH,HighRoad Washington DC,216,9.0,1 queen bed
WSH,"Courtyard Washington, DC/U.S. Capitol",293,8.1,2 queen beds
WSH,"2500 Penn, a Placemakr Experience",300,8.1,Entire studio•1 bathroom•323 ft²1 queen bed
WSH,Fairfield Inn & Suites by Marriott Washington Downtown,338,8.0,2 queen beds
WSH,Hyatt Place Washington DC/White House,418,8.0,"3 beds (1 sofa bed, 2 queens)"
WSH,The Normandy Hotel,283,7.9,2 queen beds
WSH,"Coda on Half, a Placemakr Experience - Navy Yard",328,8.8,Entire apartment•1 bedroom•1 living room•1 bathroom•409 ft²1 queen bed
WSH,"Courtyard by Marriott Washington, DC Dupont Circle",368,7.9,2 queen beds
WSH,Placemakr Dupont Circle,375,8.0,Entire studio•1 bathroom•323 ft²1 queen bed
WSH,Hyatt Washington Dc/Convention Center,418,7.6,"Private suite•1 bedroom•1 living room•1 bathroom2 beds (1 king, 1 sofa bed)"
WSH,Residence Inn by Marriott Washington Downtown/Convention Center,574,8.6,"Private suite2 beds (1 sofa bed, 1 queen)"
DAL,Fairfield Inn & Suites by Marriott Dallas Downtown,220,7.8,2 queen beds
DAL,DoubleTree by Hilton Dallas Market Center,270,7.9,1 queen bed
DAL,SpringHill Suites by Marriott Dallas Downtown / West End,216,7.8,Private suite1 queen bed
DAL,Courtyard by Marriott Dallas Downtown/Reunion District,246,8.4,2 queen beds
DAL,DoubleTree by Hilton Dallas Near the Galleria,224,8.3,2 queen beds
DAL,"Hotel Indigo Dallas Downtown, an IHG Hotel",221,8.2,1 queen bed
DAL,"Holiday Inn Express - Dallas Downtown, an IHG Hotel",218,7.1,1 queen bed
DAL,Hilton Garden Inn Downtown Dallas,302,8.0,2 queen beds
DAL,"Holiday Inn Express Hotel & Suites Dallas West, an IHG Hotel",205,8.1,"Private suite•2 bedrooms•1 living room•1 bathroom3 beds (1 sofa bed, 2 queens)"
DAL,Hampton Inn & Suites Dallas Market Center,224,8.3,2 queen beds
DAL,Home2 Suites by Hilton Dallas Downtown at Baylor Scott & White,261,8.1,1 queen bed
DAL,"Hampton Inn & Suites Dallas I-30 Cockrell Hill, Tx",196,8.6,2 queen beds
DAL,La Quinta by Wyndham Dallas - Richardson,165,7.8,2 queen beds
DAL,"Holiday Inn Express & Suites - Dallas NW HWY - Love Field, an IHG Hotel",208,8.9,Multiple bed types
DAL,Wingate by Wyndham Dallas Love Field,189,7.3,2 queen beds
DAL,Hampton Inn & Suites Dallas East,210,8.4,2 queen beds
DAL,"Hilton Garden Inn Dallas-Central Expy/North Park Area, Tx",219,8.2,2 queen beds
DAL,TownePlace Suites by Marriott Dallas Downtown,228,7.4,"3 beds (1 sofa bed, 2 queens)"
DAL,Home2 Suites By Hilton Dallas North Park,229,8.1,1 queen bed
DAL,Sonesta Select Dallas Central Expressway,211,8.0,2 queen beds
DAL,Hyatt Place Dallas Park Central,228,7.4,"3 beds (1 sofa bed, 2 queens)"
DAL,Comfort Suites North Dallas,170,6.9,"Private suite3 beds (1 sofa bed, 2 queens)"
DAL,The Beeman Hotel,373,8.4,1 queen bed
DAL,Fairfield Inn & Suites by Marriott Dallas West/I-30,178,8.6,1 queen bed
DAL,Alexis Hotel & Banquets Dallas Park Central Galleria,149,7.6,2 queen beds
NYG,Hotel Moca NYC,362,4.9,1 queen bed
NYG,Sonder Battery Park,880,8.6,Entire studio•1 bathroom•1 kitchen•463 ft²1 queen bed
NYG,"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection",785,8.7,1 queen bed
NYG,Solita Soho Hotel,678,7.8,1 queen bed
NYG,Pod Times Square,738,8.2,1 queen bed
NYG,The Belvedere Hotel,978,7.9,1 queen bed
NYG,Pod 39,703,8.2,1 queen bed
NYG,Wingate by Wyndham New York Midtown South/5th Ave,908,8.2,1 queen bed
NYG,"U Hotel Fifth Avenue, Empire State Building",882,7.8,1 queen bed
NYG,Night Hotel Broadway,667,6.3,1 queen bed
NYG,BeHome by LuxUrban,700,6.6,1 queen bed
NYG,Pod 51,693,7.8,1 queen bed
NYG,Best Western Premier Herald Square,883,7.6,1 queen bed
NYG,Chelsea Inn,570,6.8,1 queen bed
NYG,Best Western Premier Empire State Hotel,880,8.3,1 queen bed
NYG,New York Hilton Midtown,1223,7.4,1 queen bed
NYG,Motto By Hilton New York City Times Square,998,8.1,1 queen bed
NYG,La Quinta by Wyndham New York City Central Park,738,6.6,1 queen bed
NYG,Hilton Garden Inn New York - Times Square Central,1008,7.6,1 queen bed
NYG,The Gatsby Hotel,841,6.5,1 queen bed
NYG,Hampton Inn Manhattan/Downtown- Financial District,783,7.6,1 queen bed
NYG,Hotel Richland LES,731,8.1,1 queen bed
NYG,Madison LES Hotel,668,7.3,1 queen bed
NYG,Comfort Inn Manhattan - Midtown West,908,6.9,1 queen bed
NYG,Hampton Inn Manhattan Chelsea,902,7.6,1 queen bed
NYG,"Holiday Inn Express - Times Square, an IHG Hotel",964,6.4,1 queen bed
TB,The Barrymore Hotel Tampa Riverwalk,394,7.8,2 queen beds
TB,Hampton Inn & Suites Tampa Riverview Brandon,377,8.5,2 queen beds
TB,"Holiday Inn Tampa Westshore - Airport Area, an IHG Hotel",310,7.6,2 queen beds
TB,Hilton Garden Inn Tampa North,328,7.3,2 queen beds
TB,"Staybridge Suites Tampa East- Brandon, an IHG Hotel",327,7.8,"Private suite2 beds (1 sofa bed, 1 queen)"
TB,Tahitian Inn Boutique Hotel Tampa,267,6.3,2 queen beds
TB,Embassy Suites by Hilton Tampa Airport Westshore,452,7.8,"Private suite•1 bedroom•1 living room•710 ft²2 beds (1 sofa bed, 1 queen)"
TB,Hyde Park Hotel,260,6.1,1 queen bed
TB,"Holiday Inn Express & Suites - Tampa East - Ybor City, an IHG Hotel",350,8.8,2 queen beds
TB,Hampton Inn Tampa-Rocky Point,378,8.2,2 queen beds
TB,"Home2 Suites By Hilton Tampa Westshore Airport, Fl",416,8.6,1 queen bed
TB,Comfort Suites Tampa Airport North,345,8.1,"2 beds (1 sofa bed, 1 queen)"
TB,TownePlace Suites by Marriott Tampa Casino Area,428,8.7,2 queen beds
TB,Home2 Suites By Hilton Tampa Downtown Channel District,471,8.9,1 queen bed
TB,Hyatt Place Tampa Downtown,618,8.8,"3 beds (1 sofa bed, 2 queens)"
TB,Extended Stay America Premier Suites - Tampa - Fairgrounds - Casino,380,8.1,Entire studio•1 bathroom•1 kitchen•334 ft²2 queen beds
TB,Comfort Suites At Fairgrounds-Casino,380,8.2,"Private suite3 beds (1 sofa bed, 2 queens)"
TB,Courtyard by Marriott Tampa Northwest/Veterans Expressway,398,8.9,1 queen bed
TB,Hampton Inn & Suites by Hilton Tampa Busch Gardens Area,513,8.5,"3 beds (1 sofa bed, 2 queens)"
TB,Hampton Inn & Suites Tampa Airport Avion Park Westshore,440,8.7,2 queen beds
TB,Ramada by Wyndham Temple Terrace/Tampa North,287,7.2,1 queen bed
TB,Courtyard Tampa Westshore/Airport,430,8.1,2 queen beds
TB,"Country Inn & Suites by Radisson, Tampa Airport North, FL",378,7.3,2 queen beds
TB,Fairfield Inn & Suites by Marriott Tampa Westshore/Airport,473,8.2,1 queen bed
TB,MainStay Suites Tampa Moffitt-USF,358,7.5,1 queen bed
ATL,AC Hotel Atlanta Downtown,214,8.6,2 queen beds
ATL,Hyatt House Atlanta Downtown,298,7.9,2 queen beds
ATL,Residence Inn Atlanta Downtown,196,7.8,Private suite1 queen bed
ATL,"Country Inn & Suites by Radisson, Atlanta Airport South, GA",153,7.1,2 queen beds
ATL,Sonesta Select Atlanta Midtown Georgia Tech,204,7.4,2 queen beds
ATL,"Holiday Inn Express & Suites - Atlanta Downtown, an IHG Hotel",192,6.8,1 queen bed
ATL,Hyatt House Atlanta Perimeter Center,260,9.1,2 queen beds
ATL,Homewood Suites by Hilton Atlanta Buckhead Pharr Road,214,7.5,1 queen bed
ATL,Fairfield Inn & Suites by Marriott Atlanta Perimeter Center,176,8.3,1 queen bed
ATL,Sonesta Select Atlanta Cumberland Galleria Ballpark,186,8.1,2 queen beds
ATL,"Hotel Indigo Atlanta Midtown, an IHG Hotel",254,7.9,1 queen bed
ATL,Courtyard by Marriott Atlanta Downtown,241,8.1,2 queen beds
ATL,"Hampton Inn & Suites Atlanta-Midtown, Ga",261,8.8,2 queen beds
ATL,Hyatt Place Atlanta/Perimeter Center,263,8.6,"3 beds (1 sofa bed, 2 queens)"
ATL,SpringHill Suites by Marriott Atlanta Northwest,219,9.1,Private suite2 queen beds
ATL,Hilton Garden Inn Atlanta Airport/Millenium Center,185,8.0,2 queen beds
ATL,Hyatt Place Atlanta Centennial Park,387,8.3,"3 beds (1 sofa bed, 2 queens)"
ATL,Hampton Inn & Suites Atlanta Buckhead Place,205,8.3,2 queen beds
ATL,Comfort Inn Atlanta Downtown South,140,4.9,2 queen beds
ATL,Home2 Suites by Hilton Atlanta Midtown,252,7.8,"3 beds (1 sofa bed, 2 queens)"
ATL,Hampton Inn Atlanta-Georgia Tech-Downtown,261,7.9,2 queen beds
ATL,Radisson Hotel Atlanta Airport,215,7.7,2 queen beds
ATL,Home2 Suites by Hilton Atlanta Downtown,261,7.9,1 queen bed
ATL,"Holiday Inn Express & Suites Atlanta Airport NE - Hapeville, an IHG Hotel",211,8.6,2 queen beds
ATL,Residence Inn Atlanta Midtown 17th Street,198,8.0,"Entire studio•1 bathroom•1 kitchen•431 ft²2 beds (1 sofa bed, 1 queen)"
NO,Courtyard by Marriott New Orleans Downtown Near the French Quarter,354,7.6,1 queen bed
NO,"Hotel Indigo New Orleans - French Quarter, an IHG Hotel",417,7.9,1 queen bed
NO,Best Western Plus St. Christopher Hotel,381,7.9,1 queen bed
NO,"Holiday Inn Express New Orleans Downtown, an IHG Hotel",464,7.8,Multiple bed types
NO,"St Charles Coach House, Ascend Hotel Collection",382,8.9,2 queen beds
NO,Pelham Hotel,405,8.4,1 queen bed
